===============================  ==========  ================  ===============  ================  ==============  ==============  ==============
shape                              avg_time    %_diff_control    %_diff_precom    %_diff_getters    %_diff_slots    %_diff_attrs    %_diff_corey
===============================  ==========  ================  ===============  ================  ==============  ==============  ==============
Control Square                   0.00003600        0.00000000       0.47163706       22.92374382     23.80052145    195.38607072    -49.69162542
Control Rectangle                0.00003629        0.00000000       0.17838350       23.02131869     23.53711840    181.53906844    -50.18385950
Control Triangle                 0.00004634        0.00000000      14.31281842       57.54781463     58.07038232    260.12866852    -30.05198880
Control Circle                   0.00006211        0.00000000      51.77465418      111.57527424    111.86947099    412.87577527     -4.43785731
Control Assorted                 0.00005988        0.00000000      11.56944493       53.09294168     52.29673939    185.42502520    -25.98866779
===============================  ==========  ================  ===============  ================  ==============  ==============  ==============
Precomputed Constants Square     0.00003583       -0.46942309       0.00000000       22.34671138     23.21937322    193.99946031    -49.92778454
Precomputed Constants Rectangle  0.00003623       -0.17806586       0.00000000       22.80225972     23.31714096    181.03774348    -50.27256504
Precomputed Constants Triangle   0.00004054      -12.52074668       0.00000000       37.82165185     38.27879017    215.03787021    -38.81000209
Precomputed Constants Circle     0.00004092      -34.11284609       0.00000000       39.40092658     39.59476444    237.91925144    -37.03682396
Precomputed Constants Assorted   0.00005367      -10.36972527       0.00000000       37.21762421     36.50398592    155.82723422    -33.66343961
===============================  ==========  ================  ===============  ================  ==============  ==============  ==============
With Getters Square              0.00002929      -18.64875174     -18.26506910        0.00000000      0.71326955    140.30025572    -59.07350930
With Getters Rectangle           0.00002950      -18.71327582     -18.56827372        0.00000000      0.41927669    128.85388601    -59.50609128
With Getters Triangle            0.00002941      -36.52720589     -27.44246013        0.00000000      0.33168832    128.58372830    -55.60204287
With Getters Circle              0.00002936      -52.73549787     -28.26446534        0.00000000      0.13905063    142.40818173    -54.83302903
With Getters Assorted            0.00003912      -34.68020217     -27.12306413        0.00000000     -0.52007772     86.43904942    -51.65594743
===============================  ==========  ================  ===============  ================  ==============  ==============  ==============
With Properties Square           0.00003603        0.07310278       0.54508462       23.01360448     23.89102306    195.60200614    -49.65484860
With Properties Rectangle        0.00003622       -0.19005541      -0.01201094       22.78751002     23.30232942    181.00398821    -50.27853777
With Properties Triangle         0.00003604      -22.21886342     -11.08619058       22.54248087     22.94893997    180.11217152    -45.59364187
With Properties Circle           0.00003600      -42.04041315     -12.03203749       22.62815483     22.79867005    197.26068040    -44.61257691
With Properties Assorted         0.00003832      -36.01434429     -28.61155910       -2.04247743     -2.55193268     82.63107392    -52.64336379
===============================  ==========  ================  ===============  ================  ==============  ==============  ==============
With Slots Square                0.00002908      -19.22489596     -18.84393063       -0.70821804      0.00000000    138.59840595    -59.36335809
With Slots Rectangle             0.00002938      -19.05266911     -18.90827243       -0.41752610      0.00000000    127.89836131    -59.67516392
With Slots Triangle              0.00002932      -36.73704173     -27.68232939       -0.33059178      0.00000000    127.82804927    -55.74881887
With Slots Circle                0.00002932      -52.80112820     -28.36407555       -0.13885755      0.00000000    142.07157968    -54.89574678
With Slots Assorted              0.00003932      -34.33871244     -26.74206594        0.52279667      0.00000000     87.41374657    -51.40320633
===============================  ==========  ================  ===============  ================  ==============  ==============  ==============
With Attributes Square           0.00001219      -66.14600013     -65.98633212      -58.38539593    -58.08857163      0.00000000    -82.96860293
With Attributes Rectangle        0.00001289      -64.48095088     -64.41759076      -56.30399739    -56.12079024      0.00000000    -82.30578059
With Attributes Triangle         0.00001287      -72.23214680     -68.25778439      -56.25235412    -56.10724829      0.00000000    -80.57693893
With Attributes Circle           0.00001211      -80.50210113     -70.40713142      -58.74726699    -58.68990481      0.00000000    -81.36739006
With Attributes Assorted         0.00002098      -64.96452968     -60.91112023      -46.36316785    -46.64212107      0.00000000    -74.06978167
===============================  ==========  ================  ===============  ================  ==============  ==============  ==============
Corey'S Way Square               0.00007156       98.77406263      99.71155478      144.34051952    146.08332604    487.15089322      0.00000000
Corey'S Way Rectangle            0.00007285      100.73815234     101.09623609      146.95072212    147.98612893    465.15632411      0.00000000
Corey'S Way Triangle             0.00006625       42.96332130      63.42540189      125.23558843    125.98266857    414.85190548      0.00000000
Corey'S Way Circle               0.00006500        4.64394914      58.82299193      121.40072238    121.70858147    436.69346545      0.00000000
Corey'S Way Assorted             0.00008091       35.11444398      50.74643516      106.85067692    105.77489263    285.65043577      0.00000000
===============================  ==========  ================  ===============  ================  ==============  ==============  ==============
Corey'S Way Precomp Square       0.00006517       81.03111844      81.88492828      122.53022825    124.11746861    434.74070754     -8.92618683
Corey'S Way Precomp Rectangle    0.00006653       83.31842158      83.64543140      125.52073962    126.46629551    416.11297639     -8.67783755
Corey'S Way Precomp Triangle     0.00005945       28.29328508      46.65567002      102.12326696    102.79368623    362.02089938    -10.26139858
Corey'S Way Precomp Circle       0.00005802       -6.58860890      41.77481580       97.63540688     97.91022016    379.08439628    -10.73407315
Corey'S Way Precomp Assorted     0.00007503       25.29977612      39.79626471       91.82511317     90.82747349    257.63691755     -7.26396644
===============================  ==========  ================  ===============  ================  ==============  ==============  ==============
