====================  ==========  ============  ================  =============  ==============
test_name             handler         avg_time    %_diff_control     %_diff_dry    %_diff_clean
====================  ==========  ============  ================  =============  ==============
Only Customers        Control     0.0000000335      0.0000000000   0.2270715719    0.3642164726
Only Albums           Control     0.0000000333      0.0000000000  -0.1597065967   -0.1336872699
Customers and Albums  Control     0.0000000334      0.0000000000   0.1180315737    0.0131676508
====================  ==========  ============  ================  =============  ==============
Only Customers        DRY         0.0000000334     -0.2265571251   0.0000000000    0.1368341892
Only Albums           DRY         0.0000000334      0.1599620666   0.0000000000    0.0260609478
Customers and Albums  DRY         0.0000000334     -0.1178924235   0.0000000000   -0.1047402963
====================  ==========  ============  ================  =============  ==============
Only Customers        Clean Code  0.0000000333     -0.3628947501  -0.1366472091    0.0000000000
Only Albums           Clean Code  0.0000000334      0.1338662320  -0.0260541578    0.0000000000
Customers and Albums  Clean Code  0.0000000334     -0.0131659171   0.1048501167    0.0000000000
====================  ==========  ============  ================  =============  ==============
