===============================  ==========  ================  ===============  ================  ==============  ==============  ==============
shape                              avg_time    %_diff_control    %_diff_precom    %_diff_getters    %_diff_slots    %_diff_attrs    %_diff_corey
===============================  ==========  ================  ===============  ================  ==============  ==============  ==============
Control Square                   0.00003569        0.00000000      -0.25425739       22.44249984     24.47870967    191.19856856    -50.46157272
Control Rectangle                0.00003596        0.00000000      -1.22438606       16.74546125     24.60049799    179.43343466    -50.21282212
Control Triangle                 0.00004534        0.00000000      12.42197883       53.80703406     57.75581304    251.16304084    -30.89751791
Control Circle                   0.00006161        0.00000000      49.07221499      111.61865554    113.87292272    406.69014524     -6.08923241
Control Assorted                 0.00006116        0.00000000      13.85171121       54.87004528     54.53026723    191.33256504    -19.37175846
===============================  ==========  ================  ===============  ================  ==============  ==============  ==============
Precomputed Constants Square     0.00003578        0.25490550       0.00000000       22.75461251     24.79601276    191.94084974    -50.33529654
Precomputed Constants Rectangle  0.00003641        1.23956310       0.00000000       18.19259490     26.14499978    182.89718840    -49.59567863
Precomputed Constants Triangle   0.00004033      -11.04942197       0.00000000       36.81224584     40.32470757    212.36155464    -38.53294275
Precomputed Constants Circle     0.00004133      -32.91841809       0.00000000       41.95714175     43.46933984    239.89576480    -37.00317152
Precomputed Constants Assorted   0.00005372      -12.16644973       0.00000000       36.02785907     35.72941995    155.88773496    -29.18135294
===============================  ==========  ================  ===============  ================  ==============  ==============  ==============
With Getters Square              0.00002915      -18.32901147     -18.53666599        0.00000000      1.66299270    137.82474953    -59.54147673
With Getters Rectangle           0.00003080      -14.34356511     -15.39233056        0.00000000      6.72834443    139.35271802    -57.35407839
With Getters Triangle            0.00002948      -34.98346769     -26.90712780        0.00000000      2.56735916    128.31403192    -55.07196240
With Getters Circle              0.00002912      -52.74518698     -29.55620354        0.00000000      1.06524974    139.43548074    -55.62264237
With Getters Assorted            0.00003949      -35.42973412     -26.48564737        0.00000000     -0.21939559     88.11421183    -47.93813007
===============================  ==========  ================  ===============  ================  ==============  ==============  ==============
With Properties Square           0.00003654        2.38887060       2.12853934       25.36749272     27.45234498    198.15492556    -49.27816379
With Properties Rectangle        0.00003651        1.52317587       0.28014026       18.52369994     26.49838271    183.68969731    -49.45447584
With Properties Triangle         0.00003652      -19.44885659      -9.44281060       23.89332458     27.07411120    182.86584463    -44.33716055
With Properties Circle           0.00003627      -41.14128345     -12.25800753       24.55602462     25.88285735    198.23131635    -44.72532750
With Properties Assorted         0.00003772      -38.32653081     -29.78369996       -4.48627034     -4.69582325     79.67489974    -50.27376630
===============================  ==========  ================  ===============  ================  ==============  ==============  ==============
With Slots Square                0.00002867      -19.66497704     -19.86923477       -1.63578964      0.00000000    133.93443692    -60.20329307
With Slots Rectangle             0.00002886      -19.74349893     -20.72614834       -6.30417765      0.00000000    124.26349748    -60.04255305
With Slots Triangle              0.00002874      -36.61089371     -28.73671235       -2.50309571      0.00000000    122.59911320    -56.19655418
With Slots Circle                0.00002881      -53.24326300     -30.29869649       -1.05402178      0.00000000    136.91177864    -56.09038938
With Slots Assorted              0.00003958      -35.28775832     -26.32400548        0.21987799      0.00000000     88.52783358    -47.82365748
===============================  ==========  ================  ===============  ================  ==============  ==============  ==============
With Attributes Square           0.00001226      -65.65917185     -65.74648594      -57.95223155    -57.25298023      0.00000000    -82.98809382
With Attributes Rectangle        0.00001287      -64.21330178     -64.65146912      -58.22065409    -55.40959580      0.00000000    -82.18281290
With Attributes Triangle         0.00001291      -71.52319909     -67.98581691      -56.20067713    -55.07619120      0.00000000    -80.32182375
With Attributes Circle           0.00001216      -80.26407244     -70.57921564      -58.23509545    -57.79019491      0.00000000    -81.46583894
With Attributes Assorted         0.00002099      -65.67496669     -60.92036220      -46.84080537    -46.95743429      0.00000000    -72.32432923
===============================  ==========  ================  ===============  ================  ==============  ==============  ==============
Procedural Square                0.00007204      101.86349362     101.35024077      147.16670784    151.27707216    487.82360385      0.00000000
Procedural Rectangle             0.00007223      100.85492741      98.39568768      134.48901144    150.26623979    461.25582235      0.00000000
Procedural Triangle              0.00006561       44.71260218      62.68877099      122.57816132    128.29254214    408.17717428      0.00000000
Procedural Circle                0.00006561        6.48406202      58.73814986      125.34014041    127.74057567    439.54424849      0.00000000
Procedural Assorted              0.00007586       24.02602127      41.20574757       92.07915531     91.65774211    261.32818909      0.00000000
===============================  ==========  ================  ===============  ================  ==============  ==============  ==============
